epoch,accuracy,loss,val_accuracy,val_loss
0,0.8628906011581421,0.21299344301223755,0.9971972703933716,0.10127758979797363
1,0.9993261694908142,0.13434672355651855,1.0,0.10279333591461182
2,0.9997997879981995,0.07459436357021332,1.0,0.10892929136753082
3,1.0,0.04262591153383255,1.0,0.06957650184631348
4,1.0,0.031581711024045944,1.0,0.04263412952423096
5,1.0,0.02589448168873787,1.0,0.05465829372406006
6,1.0,0.03567235916852951,1.0,0.010215222835540771
7,1.0,0.020110975950956345,1.0,0.03775128722190857
8,1.0,0.023756345734000206,1.0,0.03846527636051178
9,1.0,0.01869434118270874,1.0,0.01728895679116249
